time,open,high,low,close,volume
1755642180,113247.92,113282,113193.6,113269.53,2.74473087
1755642120,113133.05,113282,113133.05,113247.93,1.25862412
1755642060,113133.84,113163.28,113100,113133.05,2.48886747
1755642000,113073.25,113185.47,113066,113133.85,4.53501088
1755641940,113065,113093.77,113050,113073.25,2.1590783
1755641880,113203.88,113206.8,113064.99,113065,3.33080776
1755641820,113208.74,113216.05,113194.05,113203.88,2.86321443
1755641760,113205.69,113210.85,113189.47,113208.74,1.58818324
1755641700,113148.89,113223.03,113148.88,113212.72,2.99416216
1755641640,113157.74,113195.38,113148.88,113148.89,2.49125541
1755641580,113140.33,113176.25,113125.59,113157.74,1.78420902
1755641520,113096.57,113156.77,113096.57,113140.33,1.10810109
1755641460,113183.43,113183.48,113089,113096.56,5.82965935
1755641400,113277.4,113288.6,113180.03,113183.45,2.96847215
1755641340,113267.59,113281.6,113252.2,113277.4,1.44167998
1755641280,113263.26,113298.76,113249.11,113267.6,3.26749751
1755641220,113235.79,113263.26,113206.5,113263.26,2.7286461
1755641160,113215.01,113255,113173.54,113235.79,4.79358803
1755641100,113290.05,113313.04,113218.81,113218.81,18.38415665
1755641040,113304.39,113327.72,113271.72,113290.01,1.58179596
1755640980,113265.17,113324.75,113265.17,113290.99,2.71925862
1755640920,113400.03,113428.68,113250.17,113264.17,10.12730208
1755640860,113390.01,113400.12,113390,113400.03,1.38029998
1755640800,113402.35,113402.35,113390,113391.21,2.50011886
1755640740,113392.92,113402.38,113390.56,113402.36,1.41856537
1755640680,113392.92,113392.95,113390.74,113392.93,0.53300428
1755640620,113394.74,113394.78,113390.74,113392.92,0.96114342
1755640560,113399.06,113399.99,113391.2,113394.75,1.56790546
1755640500,113418.64,113418.65,113391.42,113399.08,2.39414499
1755640440,113419.97,113419.98,113415.26,113418.64,0.45964325
1755640380,113428.66,113429.95,113413.24,113419.98,5.77669883
1755640320,113452.29,113452.29,113425.09,113426.93,1.00977383
1755640260,113466.74,113469.58,113452.27,113452.29,0.4119155
1755640200,113458.08,113466.74,113455.37,113466.73,0.52977508
1755640140,113450,113461.7,113449.73,113458.1,1.52709503
1755640080,113418.12,113450,113410.99,113450,1.70515022
1755640020,113425,113425.01,113411.92,113420.09,1.1127144
1755639960,113452.41,113452.42,113421,113425.01,2.39568458
1755639900,113471.06,113492.81,113452.41,113452.41,1.90147603
1755639840,113452.77,113524.98,113452.77,113471.06,4.22984399
1755639780,113515.25,113519.88,113446.01,113452.77,3.32903939
1755639720,113515.63,113515.63,113492.73,113515.25,3.76973049
1755639660,113510.23,113515.63,113510.23,113515.63,0.5084015
1755639600,113515.62,113515.63,113506.12,113510.23,2.21788389
1755639540,113549.91,113549.92,113515.62,113515.63,1.79493648
1755639480,113546.11,113548.96,113541.71,113548.96,1.00435362
1755639420,113518.09,113549.92,113518.08,113546.11,2.36804354
1755639360,113515.6,113518.09,113515.6,113518.08,0.85762959
1755639300,113514.66,113518.09,113510.74,113515.6,4.31089479
1755639240,113514.42,113514.66,113510.55,113514.65,1.33583735
1755639180,113509.99,113514.66,113509.96,113514.43,0.53535794
1755639120,113499.8,113516.05,113496.89,113509.99,3.24000792
1755639060,113508.64,113508.64,113493.75,113497.12,1.1465796
1755639000,113517.65,113520.36,113500,113506.52,0.92727385
1755638940,113505.13,113517.65,113497.99,113517.64,2.46785845
1755638880,113493.38,113508.98,113493.38,113505.13,1.31173851
1755638820,113493.35,113495.05,113490.85,113495.05,1.35975467
1755638760,113462.62,113495.31,113462.62,113493.34,2.27234384
1755638700,113481.24,113483.44,113452.76,113462.63,2.71814738
1755638640,113476.89,113484.78,113466.91,113481,3.21906604
1755638580,113492.21,113492.21,113473.95,113476.89,0.65473606
1755638520,113471.84,113524.63,113471.84,113492.87,2.87336693
1755638460,113457.01,113474.47,113457,113471.84,1.27950475
1755638400,113490.29,113490.29,113454.18,113457.01,4.27608568
1755638340,113524.63,113533.02,113489.73,113490.29,1.2428262
1755638280,113516.93,113524.63,113506.6,113524.63,1.00173114
1755638220,113523.94,113555.02,113516.92,113516.92,2.09638356
1755638160,113461,113523.93,113460.99,113523.93,5.04817646
1755638100,113501.87,113506.36,113454.18,113460.99,1.29693605
1755638040,113512.91,113522.75,113488.16,113501.87,3.12368962
1755637980,113503.41,113512.92,113503.4,113512.92,2.30696267
1755637920,113458.26,113503.41,113458.25,113503.41,1.06262076
1755637860,113475.78,113489.33,113458.26,113458.26,4.25009905
1755637800,113448.08,113476.76,113448.08,113475.78,1.21382139
1755637740,113512.1,113512.1,113445.78,113445.78,8.09414491
1755637680,113532.61,113537.01,113512.08,113512.1,3.2181131
1755637620,113547.44,113573.8,113532.61,113532.61,4.10063996
1755637560,113537.69,113547.45,113537.69,113547.45,0.98570932
1755637500,113551.91,113552.02,113528.52,113537.69,1.68103825
1755637440,113517.45,113555.12,113516.59,113551.91,1.36597293
1755637380,113517.99,113522.8,113503.31,113516.95,3.75700472
1755637320,113505.54,113526.65,113500.01,113519.63,3.96310116
1755637260,113506.6,113514.66,113503.37,113505.53,1.91991076
1755637200,113560.28,113562.12,113503.02,113506.61,2.54320152
1755637140,113515.67,113561.76,113515.64,113560.28,2.18960613
1755637080,113530.4,113530.4,113506.28,113515.67,8.38270871
1755637020,113555.68,113555.68,113529.92,113530.39,3.97440302
1755636960,113513.19,113562.15,113513.18,113555.68,6.57418566
1755636900,113506.42,113530.06,113496.35,113513.19,2.74248788
1755636840,113479.58,113506.42,113479.32,113506.41,2.11770121
1755636780,113463.09,113479.59,113462.13,113479.59,1.05850067
1755636720,113423.26,113478.02,113423.26,113465.49,2.13881619
1755636660,113438.95,113441.95,113412.15,113423.25,2.32287887
1755636600,113476.45,113480.3,113423.25,113438.95,2.3414786
1755636540,113452.47,113484.19,113447.81,113475.74,2.75168132
1755636480,113451.04,113455.36,113448.37,113452.47,1.38051138
1755636420,113421.05,113457.01,113421.04,113451.04,1.92032094
1755636360,113405.87,113445.49,113404.18,113421.05,2.89923114
1755636300,113399.99,113412.32,113372.44,113405.87,7.1846531
1755636240,113402.71,113402.71,113391.47,113400,3.39720264
1755636180,113460.64,113460.64,113400.88,113402.7,2.28266309
1755636120,113447.13,113484.41,113447.13,113460.64,3.37814595
1755636060,113467.54,113467.54,113444.13,113447.14,1.90819488
1755636000,113454.67,113480.44,113439.81,113467.54,5.70168162
1755635940,113411.06,113480.64,113393.86,113454.67,15.79872783
1755635880,113365.32,113420.02,113364.99,113411.05,4.52665187
1755635820,113376.54,113396.83,113350.74,113365.32,3.48033702
1755635760,113378.73,113391,113359.4,113377.42,11.7908258
1755635700,113427.25,113434.91,113350.74,113379.09,4.3406609
1755635640,113427.18,113449.05,113402.25,113424.91,3.98900116
1755635580,113364.23,113428.68,113359.01,113427.19,2.00840571
1755635520,113393.36,113398.08,113359,113364.22,3.01169662
1755635460,113322.19,113428.3,113314.6,113393.38,7.4577199
1755635400,113295.69,113331.87,113295.69,113322.19,5.93925938
1755635340,113295.69,113295.7,113279.18,113295.7,1.20872824
1755635280,113280.77,113295.4,113264.56,113295.4,2.54496545
1755635220,113231.22,113280.78,113231.22,113280.78,3.00702511
1755635160,113128.52,113238.5,113128.51,113231.19,2.248972
1755635100,113125.4,113147.37,113119.92,113128.52,2.99823042
1755635040,113138.89,113160.18,113109.01,113125.4,3.23148367
1755634980,113173.55,113173.55,113116.93,113138.89,1.52112261
1755634920,113197.23,113197.23,113161.94,113173.54,1.50960594
1755634860,113141.59,113197.25,113118.4,113197.24,3.49129911
1755634800,113113.43,113158.97,113113.42,113141.59,3.27252595
1755634740,113068.79,113116.34,113068.79,113113.42,2.79741105
1755634680,113109.48,113141,113048.15,113068.79,8.59782183
1755634620,113073.61,113113.55,113060.15,113113.55,2.68579622
1755634560,112961.54,113068.92,112943.41,113068.92,7.55399228
1755634500,112958.39,112990.64,112937.38,112961.53,24.66239016
1755634440,112929.88,112987,112905.98,112957.09,37.89652053
1755634380,112935.07,112970.05,112922.88,112929.88,21.45939074
1755634320,112981.27,112988.13,112939.52,112946.5,4.31906106
1755634260,112965.37,113013,112903.9,112978.36,4.81432515
1755634200,112991.8,113038.98,112956.75,112965.36,4.40767282
1755634140,113116.65,113116.65,112985.74,112991.79,9.74713132
1755634080,113108.26,113116.69,113099.56,113116.66,4.10750151
1755634020,113046.81,113125.56,113036.74,113115.88,4.1472206
1755633960,113148,113148,113043.75,113046.81,4.02528825
1755633900,113238.13,113252.15,113147.99,113147.99,2.58125581
1755633840,113261.75,113261.75,113215,113238.13,1.9837227
1755633780,113263.6,113268.05,113232.34,113253,3.6748837
1755633720,113225.77,113272.32,113225.77,113263.59,2.01597021
1755633660,113197.01,113263.48,113186.41,113220.85,12.96060839
1755633600,113097.95,113198.51,113095.63,113197.02,8.0093461
1755633540,113134.51,113168.87,113046.07,113105.4,70.81494004
1755633480,113200,113211.37,113106,113134.52,28.53884172
1755633420,113215.58,113264.14,113202.33,113202.33,4.00872497
1755633360,113259.11,113259.11,113209.46,113215.59,3.97427622
1755633300,113200.11,113359.4,113200.11,113250.07,7.88764288
1755633240,113215.44,113234.33,113191.57,113200.12,4.30802504
1755633180,113262.95,113270.47,113194.87,113215,6.61589684
1755633120,113300.01,113333.32,113255.36,113259.91,8.78954748
1755633060,113320.93,113336.44,113288.1,113300,6.05329711
1755633000,113342.35,113342.35,113247.57,113318.71,8.78875412
1755632940,113305.01,113342.36,113305,113342.36,7.88497921
1755632880,113306.18,113306.18,113269.7,113305,7.69490968
1755632820,113439.36,113439.36,113277,113306.18,4.91741535
1755632760,113499.87,113499.98,113422.09,113439.36,5.88105752
1755632700,113414.15,113500,113414.15,113498.12,7.47504711
1755632640,113387.86,113414.17,113366.22,113414.15,7.96800423
1755632580,113370.6,113394.03,113337.14,113387.9,4.82006345
1755632520,113390.35,113407.08,113370.39,113370.6,3.63552294
1755632460,113429.86,113433.24,113376.72,113390.35,3.84231674
1755632400,113453.18,113456.32,113387.12,113429.87,4.24835474
1755632340,113521.04,113536,113452.14,113453.17,9.91743465
1755632280,113510.5,113556.9,113502.85,113521.03,22.40723839
1755632220,113505.5,113520.33,113466.7,113510.5,20.13064082
1755632160,113455.98,113508.83,113447.45,113505.5,24.28372861
1755632100,113407.21,113468.42,113400,113455.97,29.79583846
1755632040,113376.74,113407.2,113353.82,113407.2,31.22660614
1755631980,113315.88,113385.38,113312.07,113376.79,19.21811214
1755631920,113290.13,113322.26,113275.44,113315.88,6.96353895
1755631860,113385.21,113385.21,113287.31,113287.31,9.84050134
1755631800,113369.78,113395.18,113342.11,113385.21,8.8035919
1755631740,113424.99,113424.99,113359.14,113369.78,3.02983608
1755631680,113321.56,113449.05,113311.01,113417.54,14.40558811
1755631620,113327.16,113347.67,113288.66,113321.2,6.96842168
1755631560,113321.96,113337.85,113276.11,113330.25,7.27471958
1755631500,113321,113412.2,113301.62,113314.33,17.12791714
1755631440,113205.96,113318.66,113199.63,113306.56,9.59742711
1755631380,113171.81,113224.19,113151.49,113205.96,9.68902358
1755631320,113195.21,113201.69,113150.44,113171.82,4.34388319
1755631260,113071.14,113223.52,113071.11,113196.08,11.17580404
1755631200,113033.86,113071.14,113000,113071.13,7.23007854
1755631140,112918.84,113033.86,112918.84,113033.85,9.19743516
1755631080,112792.92,112946.38,112779.01,112918.86,10.24932392
1755631020,112783.58,112800,112720,112793.11,23.36219954
1755630960,112782.06,112793.81,112754.73,112783.6,25.93550048
1755630900,112799,112801.95,112770,112782.06,4.1628392
1755630840,112809.2,112833.44,112780,112795.01,3.64121983
1755630780,112796.5,112839.8,112794.01,112809.2,6.72670384
1755630720,112794.04,112813.82,112774.93,112799.85,6.02820586
1755630660,112797.7,112803.47,112770.62,112794.04,8.47603808
1755630600,112823.98,112831.4,112778.33,112799.7,5.51482993
1755630540,112783.63,112867.16,112775.75,112823.98,5.70994856
1755630480,112787.64,112791.24,112767.76,112783.62,3.03218094
1755630420,112820.84,112820.85,112766,112778.07,13.10663742
1755630360,112880.54,112893.81,112794.06,112820.85,5.03781575
1755630300,112798.07,112961.01,112798.07,112880.54,9.34445746
1755630240,112815.25,112835.83,112763.45,112798.07,5.74082956
1755630180,112813.43,112867.97,112791.42,112815.25,6.51927806
1755630120,112793.2,112841,112791.15,112812.42,4.22777676
1755630060,112894.9,112917.19,112791.15,112791.15,13.62860436
1755630000,113034.75,113034.75,112894.89,112894.9,8.29332609
1755629940,113048.37,113071.14,113022.6,113034.75,6.73932599
1755629880,113073.52,113078.45,113005.58,113048.36,12.86391797
1755629820,113072.99,113078.45,113041.84,113073.52,5.60621169
1755629760,113065.34,113089.18,113032.12,113072.98,14.55803441
1755629700,113105.32,113108.57,113064.02,113064.03,4.63485031
1755629640,113032.43,113122.65,113023.81,113105.32,21.81284784
1755629580,112979.99,113064.69,112978.54,113029,20.19465367
1755629520,112862.41,112988.96,112810.11,112977.16,9.75082384
1755629460,112869.25,112966.34,112811,112862.42,14.60996778
1755629400,112875.78,112923.56,112869.26,112869.26,5.01001679
1755629340,112967.8,112967.8,112861.18,112875.78,11.79753049
1755629280,112992.72,113015.61,112950.26,112967.8,4.28908355
1755629220,113030.31,113067.53,112992.72,112992.73,5.13054041
1755629160,113029.1,113074.99,112992.33,113021.72,17.01241302
1755629100,112993.76,113030.32,112960.96,113029.09,17.15205527
1755629040,112951.33,112998,112935.77,112993.75,20.02867163
1755628980,113028.69,113038.98,112908.05,112951.06,23.95093423
1755628920,113002.95,113050,112985.27,113028.79,22.85553009
1755628860,113076.01,113081.03,112997,113002.95,65.20523624
1755628800,113065.21,113081.03,113061.02,113076.01,16.01083794
1755628740,113105.01,113124.02,113040.01,113065.21,25.25569704
1755628680,113128.18,113139.02,113105,113105.01,8.80520807
1755628620,113168.32,113185.9,113101,113128.18,14.76855787
1755628560,113209.72,113221.47,113152.26,113168.32,6.244165
1755628500,113209.65,113220.78,113180,113209.73,5.24754961
1755628440,113207.68,113236.35,113190.3,113209.65,2.91053507
1755628380,113246.28,113246.29,113200,113207.69,3.47187988
1755628320,113233.98,113246.82,113191.73,113246.29,7.52820151
1755628260,113214.88,113234,113210.73,113233.97,4.4101676
1755628200,113226.12,113234,113180.82,113214.87,9.47469598
1755628140,113290.58,113292,113209.83,113226.12,12.27785675
1755628080,113311.86,113319.42,113290.57,113290.58,1.1753524
1755628020,113363.34,113366.09,113278.68,113311.87,3.83446744
1755627960,113386.72,113386.72,113350.89,113363.34,4.09690834
1755627900,113319.67,113397.54,113309.97,113386.72,5.01479238
1755627840,113311.25,113342.3,113303.9,113319.66,6.85768963
1755627780,113321.76,113321.76,113273.99,113311.25,4.41542935
1755627720,113302.44,113365.75,113300.17,113321.75,4.15261578
1755627660,113337.56,113343.98,113276.91,113302.44,11.03639937
1755627600,113412.94,113425.44,113337.57,113337.57,2.64704892
1755627540,113457.15,113467.47,113410.07,113412.94,2.1488195
1755627480,113378.15,113459.26,113378.15,113457.15,4.93081703
1755627420,113411.35,113424.96,113372.63,113374.79,3.06467238
1755627360,113365.37,113411.36,113362.01,113411.36,5.30270667
1755627300,113360.24,113365.38,113319,113365.38,7.32575482
1755627240,113428.72,113446,113360.24,113360.24,4.56468744
1755627180,113413.01,113433.11,113398.3,113430.14,7.71843948
1755627120,113462.11,113480.64,113406.66,113413,10.71050759
1755627060,113428.67,113469.72,113424.44,113462.1,6.07628116
1755627000,113488.47,113488.47,113428.66,113428.67,4.45325652
1755626940,113432.64,113488.51,113417.82,113488.48,7.93696026
1755626880,113446.57,113446.58,113419.98,113432.63,4.78404333
1755626820,113418.58,113486.07,113418.58,113446.58,3.13705142
1755626760,113438.63,113438.63,113403.62,113418.59,3.19738809
1755626700,113446,113471.79,113431.23,113438.63,5.58231824
1755626640,113387.47,113457.11,113336.19,113451.22,21.25090439
1755626580,113490.8,113490.8,113363.03,113391.18,7.44638524
1755626520,113408.58,113497.93,113406.46,113490.8,16.98445848
1755626460,113504.27,113504.28,113408.58,113408.58,4.06099011
1755626400,113506.6,113517.06,113451.34,113504.27,6.46032672
1755626340,113524.55,113531.75,113473,113506.6,8.76988314
1755626280,113474.74,113543.25,113474.74,113524.55,1.95854638
1755626220,113393.9,113474.75,113393.89,113474.74,1.49740181
1755626160,113417.57,113417.57,113382.5,113393.89,2.08931215
1755626100,113384.78,113425,113384.77,113417.56,1.47015739
1755626040,113380.27,113394.16,113370.55,113384.78,3.98827642
1755625980,113368.07,113409.98,113365.69,113380.27,3.9426602
1755625920,113444.63,113451.72,113368.06,113368.06,2.24125312
1755625860,113338.55,113463.32,113337.16,113444.62,2.4826884
1755625800,113331.5,113358.78,113319,113338.55,2.60324069
1755625740,113358.44,113380,113324.73,113329,2.41524891
1755625680,113296.36,113358.44,113296.15,113358.44,6.5251537
1755625620,113291.76,113331.32,113258.3,113296.25,33.3138067
1755625560,113426.49,113453.04,113264.84,113291.5,23.92272998
1755625500,113475.44,113526.24,113406.33,113426.48,37.4984619
1755625440,113488.42,113507.11,113463.45,113475.44,3.05106628
1755625380,113443.4,113492.43,113443.39,113488.43,1.43661949
1755625320,113483.39,113483.4,113443.39,113443.39,2.13144281
1755625260,113541.02,113553.24,113489.3,113489.3,3.0854214
1755625200,113520.71,113553.3,113489.31,113541.02,5.44451786
1755625140,113566.38,113576.86,113516.34,113523.4,2.69028779
1755625080,113505.09,113570.44,113489.31,113566.39,2.35774053
1755625020,113442.15,113514.83,113442.15,113504.79,4.11303843
1755624960,113438.25,113482.15,113416.23,113442.16,3.19664964
1755624900,113559.75,113564.16,113433.92,113438.25,14.25232028
1755624840,113581.43,113601.73,113558.59,113559.76,2.30230615
1755624780,113546.49,113593.47,113546.48,113581.43,8.24291453
1755624720,113579.05,113594.46,113538.27,113546.48,4.75127576
1755624660,113501.97,113590.8,113501.97,113580.15,9.59914933
1755624600,113416.79,113501.99,113403.54,113501.97,3.96241964
1755624540,113446.29,113458.33,113412.07,113418.85,3.13991402
1755624480,113422.09,113478.83,113422.09,113446.3,2.88543285
1755624420,113429.11,113429.13,113388.97,113420.37,2.77887994
1755624360,113397.05,113438.19,113371.87,113429.1,5.2709137
1755624300,113380.7,113418.08,113365.3,113397.05,4.71961445
1755624240,113368.93,113393.24,113355.54,113380.58,8.37095432
